,energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
56,109.2,0.4,0.005289,0.001612360071448,,424.12,,315.99,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
57,110.65,0.05,0.003225,0.0020822394194712,,445.071,2.8e-10,334.37,E2,,,6.37,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
58,112.6,0.5,0.00903,0.0039458585884443,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
59,113.11,0.05,0.5418,0.0462,2e-10,174.569,6e-10,61.424,E1,,,0.362,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
60,113.11,0.05,0.1548,0.0132,1.4e-10,174.58,6e-10,61.424,E2,,,5.78,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
61,117.2,0.05,0.19866,0.0220979569191362,1.5e-10,247.39,3e-10,130.141,E1,,,0.332,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
62,117.2,0.05,,,,459.93,1e-10,342.654,E1,,,0.332,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
63,117.5,0.5,0.0129,0.0040232946697948,,,,,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
64,123.58,0.1,0.01419,0.0052999716980376,1.5e-10,247.39,4.5e-10,123.793,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
65,124.44,0.2,0.004128,0.0022210702375206,,405.07,7.5e-11,280.182,,,,,,90,137,Th,,0,,(1/2+),18.697,,7,d,1615420.8,604.8,A,100,,6146.6,10,88,135,Ra,1-May-2001,E. BROWNE,2024-04-27
