Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
56,U-235,57,0,356.03,0.05,0.0024,0.0008,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
57,U-235,58,0,368.5,0.1,0.069,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
58,U-235,59,0,371.8,0.1,0.069,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
59,U-235,60,0,387.84,0.03,0.0277,0.0024,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
60,U-235,61,0,390.27,0.2,0.04,0.0012,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
61,U-235,62,0,410.29,0.04,0.0023,0.0006,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
62,U-235,63,0,428.71,0.04,0.0014,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
63,U-235,64,0,433.0,0.5,0.004,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
64,U-235,65,0,448.4,0.06,0.0011,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
65,U-235,66,0,455.1,0.1,0.009,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
66,U-235,67,0,15.784,,27.7,1.8,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
67,U-235,68,0,89.954,,2.9914423277067512,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
68,U-235,69,0,93.347,,4.838955560832661,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
69,U-235,70,0,105.566,,1.7218675985269911,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
70,U-235,71,0,106.894,,2.3021369792305872,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
71,U-235,72,0,108.58,,0.580269380703596,,0.0,7/2-,704000000.0,1,Y,2.221607588611277e+16,A,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
72,Th-231,1,0,17.195,0.021,0.28,0.1,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
73,Th-231,2,0,18.055,0.018,0.095,0.034,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
74,Th-231,3,0,25.65,0.02,13.74,0.29,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
75,Th-231,4,0,42.81,0.05,0.0605,0.0016,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
76,Th-231,5,0,53.2,0.8,0.48,0.06,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
77,Th-231,6,0,58.57,0.0027,0.471,0.014,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
78,Th-231,7,0,63.86,0.03,0.023,0.004,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
79,Th-231,8,0,68.5,0.1,0.00598,0.00029,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
80,Th-231,9,0,72.751,0.0029,0.26,0.007,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
81,Th-231,10,0,73.0,0.1,0.0068,0.0027218376145538,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
82,Th-231,11,0,77.69,,0.0043,0.0007,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
83,Th-231,12,0,81.228,0.0021,0.904,0.034,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
84,Th-231,13,0,82.087,0.0022,0.422,0.021,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
85,Th-231,14,1,84.214,0.0022,6.8,0.1,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
86,Th-231,15,0,89.95,0.02,1.02,0.034,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
87,Th-231,16,0,93.02,0.04,0.048,0.005,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
88,Th-231,17,0,99.278,0.0036,0.135,0.007,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
89,Th-231,18,0,102.27,0.0024,0.449,0.014,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
90,Th-231,19,0,105.79,0.03,0.008,0.0007,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
91,Th-231,20,0,106.61,0.03,0.0182,0.0008,0.0,5/2+,25.57,8,h,92052.0,B-,100.0,,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2024-04-27,ENSDF
