Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
10,U-234,2,0,15.784,,9.989616344671614,,0.0,0+,245500.0,6,Y,7747225326762.336,A,100.0,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
11,Th-230,1,1,67.672,0.002,0.37673,0.03083388558064,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
12,Th-230,2,0,14.92,,7.731809660327399,0.7094056020171331,0.0,0+,75400.0,3,Y,2379392218484.237,A,100.0,,1-Feb-1996,Y. A. AKOVALI,2024-04-27,ENSDF
13,Ra-226,1,1,186.211,0.013,3.565,0.029,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
14,Ra-226,2,0,14.088,,0.782875307941856,,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
15,Ra-226,3,3,81.07,,0.1926117767006508,0.00341180044589,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
16,Ra-226,4,2,83.789,,0.317736352195069,0.0054735109231855,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
17,Ra-226,5,0,94.878,,0.1101888005570304,0.0024778131889653,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
18,Ra-226,6,0,96.054,,0.1454492167352801,0.0032239768783984,0.0,0+,1600.0,7,Y,50491081559.3472,A,100.0,,25-Sep-2023,Balraj Singh and  M.S. Basunia and  Jun Chen et al. and ,2024-04-27,ENSDF
19,Pb-214,1,0,53.2256,0.0016,1.073529,0.0109599429670048,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
20,Pb-214,2,0,241.995,0.004,7.26291,0.0379246182446178,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
21,Pb-214,3,0,258.86,0.04,0.5313105,0.0046546187233757,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
22,Pb-214,4,0,274.8,0.05,0.3358755,0.0083006179173601,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
23,Pb-214,5,2,295.224,0.002,18.47088,0.1124952743718597,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
24,Pb-214,6,1,351.932,0.0021,35.7237,0.2352736185805795,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
25,Pb-214,7,0,462.01,0.07,0.2122515,0.0064245677123056,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
26,Pb-214,8,0,480.43,0.02,0.3367845,0.0047580676130126,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
27,Pb-214,9,0,487.11,0.07,0.432684,0.0057461181192175,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
28,Pb-214,10,0,533.66,0.02,0.1804365,0.0091212427053554,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
29,Pb-214,11,0,580.13,0.03,0.3685995,0.0056674940502836,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
30,Pb-214,12,0,785.96,0.09,1.058985,0.0773917214823394,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
31,Pb-214,13,0,839.06,0.09,0.580851,0.0107318133365242,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
32,Pb-214,14,0,12.904,,11.137483074964427,0.5069241425257713,0.0,0+,27.06,7,m,1623.6,B-,100.0,,1-May-2021,Shaofei Zhu and E. A. McCutchan,2024-04-27,ENSDF
