Library index,Radionuclide,Radiation number,Priority number,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
50,Np-237,51,0,16.228,,48.4695682943852,,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
51,Np-237,52,3,92.282,,1.397406408405659,,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
52,Np-237,53,2,95.865,,2.2488033608073046,,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
53,Np-237,54,0,108.373,,0.8060329288178023,,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
54,Np-237,55,0,109.74,,1.0792780916870373,,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
55,Np-237,56,0,111.482,,0.273245162869235,,0.0,5/2+,2144000.0,7.0,Y,67658049289525.25,A,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
56,Pa-233,1,0,17.26,0.04,0.009545,0.0038184329573792,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
57,Pa-233,2,0,28.562,0.011,0.0733056,0.0042229528294784,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
58,Pa-233,3,0,40.351,0.01,0.02279346,0.0012294517207682,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
59,Pa-233,4,0,41.66,0.01,0.01321028,0.001033927132829,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
60,Pa-233,5,0,75.274,0.01,1.286666,0.0241837644919065,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
61,Pa-233,6,0,86.591,0.01,2.008268,0.0697807264221289,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
62,Pa-233,7,0,92.1,0.5,0.00198536,1.196e-05,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
63,Pa-233,8,0,103.86,0.01,0.8498868,0.0098369523837416,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
64,Pa-233,9,0,228.57,0.05,0.00416162,0.0006876971153785,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
65,Pa-233,10,0,248.37,0.04,0.0603244,0.0012016658104481,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
66,Pa-233,11,0,258.45,0.03,0.0278714,0.0019163693302701,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
67,Pa-233,12,0,271.556,0.01,0.320712,0.0036141365995213,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
68,Pa-233,13,0,280.58,0.08,0.013363,0.0015293201398006,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
69,Pa-233,14,0,288.33,0.1,0.01909,0.0019124607185508,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
70,Pa-233,15,0,298.81,0.02,0.122176,0.0191041826833811,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
71,Pa-233,16,0,300.128,0.01,6.544052,0.075939995522781,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
72,Pa-233,17,0,301.93,0.1,0.0137448,0.0034371974455943,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
73,Pa-233,18,1,311.901,0.011,38.18,0.445725520920667,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
74,Pa-233,19,0,320.73,0.1,0.00503976,0.0003069451468911,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
75,Pa-233,20,0,340.477,0.01,4.440334,0.0530529439051217,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
76,Pa-233,21,0,375.407,0.01,0.6799858,0.008000597193335,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
77,Pa-233,22,0,380.28,0.1,0.00366528,0.0008784175465005,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
78,Pa-233,23,0,398.494,0.01,1.35539,0.0243196153135694,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
79,Pa-233,24,0,415.767,0.01,1.73719,0.0217702624008072,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
80,Pa-233,25,0,455.96,0.1,0.00106904,0.0001910085956181,0.0,3/2-,26.975,13.0,d,2330640.0,B-,100.0,,8-Oct-2020,B. Singh and  J. K. Tuli and  E. Browne,2024-04-27,ENSDF
