Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
49,U-233,24,0,4796.0,2.0,0.28,,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
50,U-233,25,1,4824.2,1.2,84.3,0.6,0,5/2+,159190.0,15,Y,5023547045895.301,A,100.0,,1-Jun-2008,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
51,Th-229,1,0,4478.0,3.0,0.005,5e-07,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
52,Th-229,2,0,4484.0,2.0,0.03,0.02,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
53,Th-229,3,0,4599.0,3.0,0.02,0.01,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
54,Th-229,4,0,4608.0,2.0,0.05,0.008,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
55,Th-229,5,0,4667.0,,0.001,1e-07,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
56,Th-229,6,0,4690.0,2.0,0.23,0.08,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
57,Th-229,7,0,4694.0,2.0,0.12,0.02,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
58,Th-229,8,0,4737.0,,0.01,1e-05,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
59,Th-229,9,0,4748.0,,0.005,5e-07,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
60,Th-229,10,0,4754.0,,0.05,5e-05,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
61,Th-229,11,0,4761.0,2.0,1.0,0.4,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
62,Th-229,12,0,4797.8,1.2,1.5,0.2,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
63,Th-229,13,0,4809.0,,0.22,0.00022,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
64,Th-229,14,0,4814.6,1.2,9.3,0.08,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
65,Th-229,15,0,4833.0,,0.29,0.00029,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
66,Th-229,16,0,4838.0,2.0,5.0,0.2,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
67,Th-229,17,1,4845.3,1.2,56.2,0.2,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
68,Th-229,18,0,4852.0,,0.03,3e-05,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
69,Th-229,19,0,4861.0,2.0,0.28,0.1,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
70,Th-229,20,0,4865.0,,0.03,3e-05,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
71,Th-229,21,0,4878.0,,0.03,3e-05,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
72,Th-229,22,0,4901.0,1.2,10.2,0.08,0,5/2+,7880.0,120,Y,248668576679.78497,A,100.0,,1-Dec-2008,A. K. Jain (a) and  R. Raut (b) and  J. K. Tuli,2024-04-27,ENSDF
