Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
45,Pa-234m,22,0,702.0,0.1,0.00724,0.00018,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
46,Pa-234m,23,0,705.94,0.12,0.0056,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
47,Pa-234m,24,0,732.5,1.0,0.0013,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
48,Pa-234m,25,0,740.1,0.08,0.0109,0.0017,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
49,Pa-234m,26,0,742.813,0.005,0.1066,0.0023,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
50,Pa-234m,27,0,760.3,1.0,0.00157,0.00014,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
51,Pa-234m,28,0,766.42,0.1,0.317,0.005,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
52,Pa-234m,29,0,781.75,0.1,0.00777,0.0002,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
53,Pa-234m,30,0,786.28,0.1,0.0544,0.0008,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
54,Pa-234m,31,0,805.75,0.1,0.0059,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
55,Pa-234m,32,0,808.2,0.1,0.00278,0.00017,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
56,Pa-234m,33,0,818.2,0.5,0.001,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
57,Pa-234m,34,0,825.6,0.5,0.0066,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
58,Pa-234m,35,0,844.1,0.8,0.0011,0.0003,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
59,Pa-234m,36,0,851.58,0.1,0.0069,0.00011,73.92,(0-),1.159,11,m,69.54,B-,99.84,0.04,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
