,z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
182,93,144,Np,95,3455.7,0.8,51/2+,91,2947.7,0.7,47/2+,1,508.0,0.5,100.0,42.0,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
183,93,144,Np,96,3481.4,1.2,51/2-,92,3028.6,1.1,47/2-,0,452.8,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
184,93,144,Np,97,3532.6,1.0,53/2+,93,3036.1,0.8,49/2+,0,496.5,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
185,93,144,Np,98,3780.1,1.3,53/2-,94,3301.2,1.1,49/2-,0,478.9,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
186,93,144,Np,99,3961.6,1.3,55/2-,96,3481.4,1.2,51/2-,0,480.2,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
187,93,144,Np,100,3994.4,1.0,55/2+,95,3455.7,0.8,51/2+,0,538.7,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
188,93,144,Np,101,4059.2,1.1,57/2+,97,3532.6,1.0,53/2+,0,526.6,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
189,93,144,Np,102,4287.8,,(57/2-),98,3780.1,1.3,53/2-,0,507.4,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
190,93,144,Np,103,4469.6,,(59/2-),99,3961.6,1.3,55/2-,0,508.5,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
191,93,144,Np,104,4564.5,1.1,59/2+,100,3994.4,1.0,55/2+,0,570.1,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
192,93,144,Np,105,4614.6,1.2,61/2+,101,4059.2,1.1,57/2+,0,555.4,0.5,100.0,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2024-04-27
