,z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl.1,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
143,90,140,Th,143,,2168.8,0.7,,(4+),13.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
144,90,140,Th,144,,2175.1,0.6,,0+,9.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
145,90,140,Th,145,,2181.7,0.7,,(4+),14.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
146,90,140,Th,146,,2187.1,0.6,,2+,12.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
147,90,140,Th,147,,2194.8,0.8,,(6+),7.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
148,90,140,Th,148,,2205.4,1.0,,2+,13.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
149,90,140,Th,149,,2207.8,0.8,,(4+),15.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
150,90,140,Th,150,,2216.0,0.7,,(4+),16.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
151,90,140,Th,151,,2226.0,0.6,,2+,14.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
152,90,140,Th,152,,2241.0,0.7,,2+,15.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
153,90,140,Th,153,,2249.9,0.7,,(6+),8.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
154,90,140,Th,154,,2255.3,0.7,,4+,12.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
155,90,140,Th,155,,2268.9,0.6,,0+,10.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
156,90,140,Th,156,,2276.0,0.8,,(4+),17.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
157,90,140,Th,157,,2282.98,0.16,,1 2+,1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
158,90,140,Th,158,,2295.9,0.8,,4+,13.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
159,90,140,Th,159,,2298.6,0.3,,(1 2+),12.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
160,90,140,Th,160,,2305.4,0.7,,2+,16.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
161,90,140,Th,161,,2310.5,0.8,,(17-),1.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
162,90,140,Th,162,,2311.2,0.8,,(4+),18.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
163,90,140,Th,163,,2314.27,0.15,,(1 2+),13.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
164,90,140,Th,164,,2317.7,0.7,,4+,14.0,,,,,,,,,,,,,,,,,,,,,1-May-2012,E. BROWNE and  J. K. TULI,2024-04-27
